#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portugese;Russian;;Extra2;X
#  ****************************************************************************************************;;;;;;;;;;;X
##;;;;;;;;;;;X
#  Technology System Techs below here..;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
RT_ARTILLERY;Artillery;Artillerie;Artiglieria;Artillería;Artillerie;Artyleria;;;;;X
RT_MECHANICS;Mechanics;Mécanique;Meccanica;Mecánica;Mechanik;Mechanika;;;;;X
RT_ELECTRONICS;Electronics;Électronique;Elettronica;Electrónica;Elektronik;Elektronika;;;;;X
RT_CHEMISTRY;Chemistry;Chimie;Chimica;Química;Chemie;Chemia;;;;;X
RT_TRAINING;Training;Entraînement;Addestramento;Instrucción;Übung;Szkolenie;;;;;X
RT_GENERAL_EQUIPMENT;General Equipment;Équipement général;Equipaggiamento generale;Equipo general;Allgemeine Ausrüstung;Sprzêt ogólny;;;;;X
RT_ROCKETRY;Rocketry;Fuséonautique;Missilistica;Técnica de cohetes;Raketentechnik;Technologia rakietowa;;;;;X
RT_NAVAL_ENGINEERING;Naval Engineering;Génie maritime;Ingegneria navale;Ingeniería naval;Marinetechnik;Technologia morska;;;;;X
RT_AERONAUTICS;Aeronautics;Aéronautique;Aeronautica;Aeronáutica;Flugtechnik;Lotnictwo;;;;;X
RT_NUCLEAR_PHYSICS;Nuclear Physics;Physique nucléaire;Fisica nucleare;Física nuclear;Nuklearphysik;Fizyka j¹drowa;;;;;X
RT_NUCLEAR_ENGINEERING;Nuclear Engineering;Génie nucléaire;Ingegneria nucleare;Ingeniería nuclear;Nukleartechnik;Technika j¹drowa;;;;;X
RT_MANAGEMENT;Management;Gestion;Gestione;Gestión;Management;Zarz¹dzanie;;;;;X
RT_INDUSTRIAL_ENGINEERING;Industrial Engineering;Génie industriel;Ingegneria industriale;Ingeniería industrial;Produktionstechnik;Organizacja produkcji;;;;;X
RT_MATHEMATICS;Mathematics;Mathématiques;Matematica;Matemáticas;Mathematik;Matematyka;;;;;X
RT_SMALL_UNIT_TACTICS;Small Unit Tactics;Tact. petites unités;Tattica unità piccole;Tácticas de unidades pequeñas;Kleineinheiten-Taktiken;Taktyka ma³ych oddzia³ów;;;;;X
RT_LARGE_UNIT_TACTICS;Large Unit Tactics;Tact. grandes unités;Tattica unità grandi;Tácticas de grandes unidades;Großeinheiten-Taktiken;Taktyka du¿ych oddzia³ów;;;;;X
RT_CENTRALIZED_EXECUTION;Centralized Execution;Exéc. centralisée;Amministrazione centralizzata;Ejecución centralizada;Zentralisierte Abwicklung;Wykonywanie centralne;;;;;X
RT_DECENTRALIZED_EXECUTION;Decentralized Execution;Exéc. décentralisée;Amministrazione decentralizzata;Ejecución descentralizada;Dezentralisierte Abwicklung;Wykonywanie zdecentralizowane;;;;;X
RT_TECHNICAL_EFFICIENCY;Technical Efficiency;Efficacité technique;Efficienza tecnica;Eficacia técnica;Technische Effizienz;Efektywnoœæ techniczna;;;;;X
RT_INDIVIDUAL_COURAGE;Individual Courage;Courage individuel;Coraggio individuale;Valor individual;Individuelle Courage;Odwaga jednostki;;;;;X
RT_INFANTRY_FOCUS;Infantry Focus;Objectif infanterie;Importanza sulla fanteria;Concentración en artillería;Infanterie-Fokus;Nacisk na piechotê;;;;;X
RT_COMBINED_ARMS_FOCUS;Combined Arms Focus;Armées combinées;Importanza delle armi combinate;Concentración en armamento combinado;Combined Arms-Fokus ;Nacisk na wspó³pracê wojsk;;;;;X
RT_LARGE_UNIT_FOCUS;Large Unit Focus;Obj. grandes unités;Importanza sulle unità grandi;Concentración en unidad grande;Großeinheiten-Fokus;Nacisk na du¿e jednostki;;;;;X
RT_NAVAL_ARTILLERY;Naval Artillery;Artillerie navale;Artiglieria navale;Artillería naval;Marineartillerie;Artyleria okrêtowa;;;;;X
RT_NAVAL_TRAINING;Naval Training;Entraînement naval;Addestramento navale;Instrucción naval;Marineübung;Trening okrêtowy;;;;;X
RT_AIRCRAFT_TESTING;Aircraft Testing;Essais appareils;Test velivolo;Pruebas de aviación;Flugzeugtest;Oblatywanie;;;;;X
RT_FIGHTER_TACTICS;Fighter Tactics;Tact. chasseurs;Tattica caccia;Tácticas de cazas;Jägertaktiken;Taktyka myœliwców;;;;;X
RT_BOMBER_TACTICS;Bomber Tactics;Tact. bombardiers;Tattiche bombardieri;Tácticas de bombarderos;Bombertaktiken;Taktyka bombowców;;;;;X
RT_LARGE_TASKFORCE_TACTICS;Large Taskforce Tactics;Tact. gros contingents;Tattica task force grande;Tácticas de fuerza operativa grande;Große Kampfgruppen-Taktiken ;Taktyka du¿ych si³ zbrojnych;;;;;X
RT_SMALL_TASKFORCE_TACTICS;Small Taskforce Tactics;Tact. petits contingents;Tattica task force piccola;Tácticas de fuerza operativa pequeña;Kleine Kampfgruppen-Taktiken;Taktyka ma³ych si³ zbrojnych;;;;;X
