#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X
#  ========================;==========;==========;==========;========;==========;==========;==========;==========;;==========;X
########################################;;;;;;;;;;;X
#  Division Description;;;;;;;;;;;X
########################################;;;;;;;;;;;X
NAME_INFANTRY;Infantry;Infanterie;Fanteria;Infantería;Infanterie;Piechota;;;;;X
NAME_CAVALRY;Cavalry;Cavalerie;Cavalleria;Caballería;Kavallerie;Kawaleria;;;;;X
NAME_MOTORIZED;Motorized;Motorisée;Unità motorizzata;Motorizada;Motorisiert;Zmotoryzowana;;;;;X
NAME_MECHANIZED;Mechanized;Mécanisée;Unità meccanizzata;Mecanizada;Mechanisiert;Zmechanizowana;;;;;X
NAME_LIGHT_ARMOR;Light Armored;Blindés légers;Corazzato leggero;Blindada ligera;Leichte Panzer;Lekka pancerna;;;;;X
NAME_ARMOR;Armored;Blindé;Corazzato;Blindada;Panzer;Pancerna;;;;;X
NAME_PARATROOPER;Paratroops;Parachutistes;Paracadutisti;Paracaidistas;Fallschirmjäger;Spadochroniarze;;;;;X
NAME_MARINE;Marines;Troupes d'assaut amphibie;Marine;Inf. marina;Marineinfanterie;Piechota morska;;;;;X
NAME_BERGSJAEGER;Mountain;Troupes alpines;Alpini;Montaña;Gebirgsjäger;Strzelcy górscy;;;;;X
NAME_MILITIA;Militia;Milice;Milizia;Milicia;Miliz;Milicja;;;;;X
NAME_GARRISON;Garrison;Garnison;Presidio;Guarnición;Garnison;Garnizon;;;;;X
NAME_HQ;HQ;QG;QG;EM;HQ;Dowodzenia;;;;;X
NAME_FIGHTER;Fighters;Chasseurs;Caccia;Cazas;Jäger;Myœliwiec;;;;;X
NAME_INTERCEPTOR;Interceptors;Intercepteurs;Intercettori;Interceptores;Abfangjäger;Myœliwiec przechwytuj¹cy;;;;;X
NAME_MULTI_ROLE;Fighters;Chasseurs;Caccia;Cazas;Mehrzweckjäger;Myœliwiec wielozadaniowy;;;;;X
NAME_ESCORT;Escort Fighters;Chasseurs d’escorte;Caccia di scorta;Cazas de escolta;Begleitjäger;Myœliwiec eskortuj¹cy;;;;;X
NAME_STRATEGIC_BOMBER;Strategic Bombers;Bombardiers strat.;Bomb. strategico;Bomb. Estratégico;Strategische Bomber;Bombowiec strategiczny;;;;;X
